INSPECTION_ID,DBA NAME,FACILITY_TYPE,RISK,RESULTS,NO_VIOLATIONS,VIOLATIONS_ON_MANAGEMENT_AND_SUPERVISION,VIOLATIONS_ON_HYGIENE_AND_FOOD_SECURITY,VIOLATIONS_ON_TEMPERATURE_AND_SPECIAL_PROCEDURES,VIOLATIONS_ON_FOOD_SAFETY_AND_QUALITY,VIOLATIONS_ON_INSTRUMENT_STORAGE_AND_MAINTENANCE,VIOLATIONS_ON_FACILITIES_AND_REGULATIONS,HAS_INSP_SERRIOUS_VIOL,COMMUNITY_AREA,NUM_INSP_AREA,PERC_INS_FAILED_AREA,PERC_INS_PASSED_AREA,PERC_INS_PASSED_COND_AREA,PERC_SERIOUS_VIOLATIONS_FAILED_AREA,IS_HIGH_CRIME_AREA,IS_HIGH_RISK_AREA,IS_LOW_HEALTH_AREA,IS_HIGH_BELOW_POVERTY_LEVEL,IS_LOW_PER_CAPITA_INCOME,IS_HIGH_UNEMPLOYMENT_RATE,AREA_BELOW_POVERTY_LEVEL,AREA_PER_CAPITA_INCOME,AREA_UNEMPLOYMENT,AREA_CRIME_INDEX,AREA_HEALTH_INDEX
2293926,EL ARCO DE PALMAR,Restaurant,1.0,2,0,1,0,1,0,1,1,1,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2294121,LAWRENE FISH MARKET,Restaurant,1.0,0,0,1,0,1,1,1,1,1,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2300219,LOS MOLCAJETES,Restaurant,1.0,0,0,1,0,0,1,1,1,1,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2300251,MAYFAIR EARLY LEARNING,Childrens Services Facility,1.0,2,0,1,0,1,1,0,1,1,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2579471,FEYROUS PASTRIES,Grocery Store,1.0,1,1,0,0,0,0,0,0,0,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2300422,"AMBASSADOR NURSING AND REHABILITATION CENTER II, LLC",Long Term Care,1.0,0,0,1,0,1,1,1,1,1,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2300846,AZIZ CAFE,Restaurant,1.0,2,0,1,0,0,0,1,1,1,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2301011,SALAM RESTAURANT,Restaurant,1.0,0,0,1,0,1,1,1,1,1,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2301121,GALAPAGOS CAFE,Restaurant,1.0,0,0,1,0,1,1,1,1,1,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2579286,"TAQUERIA EL AGUILA REAL, INC",Restaurant,1.0,1,1,0,0,0,0,0,0,0,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2303335,ALBANY PLACE BAR & GRILL,Restaurant,1.0,0,0,1,0,0,1,1,1,1,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2303481,YUMMY BUFFET,Restaurant,1.0,0,0,1,0,1,1,1,1,1,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2303551,MOBIL,Grocery Store,1.0,2,0,1,0,1,1,1,1,1,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2303750,JEREZ RESTAURANT SEA FOOD,Restaurant,1.0,2,0,1,0,1,1,1,1,1,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2303784,ELGEEB GROCERY,Grocery Store,2.0,2,0,1,0,0,1,1,1,1,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
2303793,7-ELEVEN #36061 A,Grocery Store,2.0,2,0,1,0,1,0,1,1,1,albany park,235,33.61702127659574,31.48936170212766,34.8936170212766,46.38297872340426,0,0,0,0,1,0,17.1,20355,9.0,5.0,60.993750000000006
