Inspection ID,DBA Name,Facility Type,Risk,Inspection Date,Results,Violations,Community Area Name
2303589,"BIG TONYS, INC",Restaurant,1.0,2019-07-23,0,"['3', '5', '21', '22', '23', '33', '36', '37', '38', '47', '49', '53', '54', '55', '55', '55', '56', '57', '60', '61']",LOGAN SQUARE
2303594,CARE-A-LOT E.L.C. II,Children's Services Facility,1.0,2019-07-24,1,"['55', '55']",JEFFERSON PARK
2303660,HELEN LUCY CHILD CARE INC.,Children's Services Facility,1.0,2019-07-25,2,"['23', '53', '55', '55']",NORWOOD PARK
2303680,SOMERIA FOOD MART INC.,Grocery Store,2.0,2019-07-25,0,"['36', '37', '39', '43', '47', '49', '51', '51', '57', '60']",WEST RIDGE
2303705,HIGH DIVE,Restaurant,1.0,2019-07-25,0,"['3', '5', '10', '10', '16', '23', '25', '41', '51', '55', '55', '55', '55', '56', '56', '57', '58']",WEST TOWN
2303711,BROWNSTONE TAVERN & GRILL,Restaurant,1.0,2019-07-25,0,"['5', '22', '25', '33', '36', '48', '49', '49', '55', '55', '60']",NORTH CENTER
2303716,JELLY FISH,Restaurant,1.0,2019-07-25,2,"['2', '3', '5', '10', '22', '23', '25', '29', '33', '37', '39', '39', '44', '47', '47', '51', '55', '55', '55', '56', '56', '57', '58']",NEAR NORTH SIDE
2303721,CLARK EL RANCHITO CORP,Restaurant,1.0,2019-07-25,2,"['3', '5', '9', '22', '23', '25', '33', '39', '41', '47', '49', '51', '55', '55', '55', '55', '58', '60']",UPTOWN
2579159,7-ELEVEN #33508J,Restaurant,2.0,2023-07-27,1,[],LINCOLN PARK
2303740,RESTAURANTE SALVADORENO OLOCUILTA INC.,Restaurant,1.0,2019-07-26,0,"['3', '5', '22', '25', '36', '37', '47', '47', '49', '54']",BELMONT CRAGIN
2303747,CITY FRESH MARKET,Grocery Store,1.0,2019-07-26,0,"['16', '37', '41', '47', '51', '53', '55', '55', '56', '56', '57']",WEST RIDGE
2303750,JEREZ RESTAURANT SEA FOOD,Restaurant,1.0,2019-07-26,2,"['3', '5', '10', '23', '25', '36', '37', '47', '47', '47', '47', '55', '55', '55', '55', '57', '58']",ALBANY PARK
2303764,FT WICKER PARK,Restaurant,1.0,2019-07-26,2,"['2', '3', '5', '22', '23', '33', '41', '43', '51', '51', '51', '51', '55', '55', '56', '56', '56', '56', '57', '58']",WEST TOWN
2303765,PEPE TACO,Restaurant,1.0,2019-07-26,2,"['6', '10', '47', '53', '54', '55', '55']",MORGAN PARK
2579140,COSI,Restaurant,1.0,2023-07-27,1,[],LOOP
2303766,"EL TACO FELIZ, INC.",Restaurant,1.0,2019-07-26,2,"['3', '5', '10', '23', '25', '44', '47', '47', '55', '55', '56', '58']",PORTAGE PARK
2303767,BANGKOK BELLY,Restaurant,1.0,2019-07-26,2,"['5', '10', '23', '25', '41', '43', '47', '47', '47', '49', '53', '55', '55', '55', '56']",NORWOOD PARK
2303784,ELGEEB GROCERY,Grocery Store,2.0,2019-07-26,2,"['3', '5', '10', '37', '44', '47', '49', '55', '55', '56', '57']",ALBANY PARK
2303793,7-ELEVEN #36061 A,Grocery Store,2.0,2019-07-29,2,"['3', '5', '10', '23', '36', '51', '55', '57']",ALBANY PARK
2303804,GOOD FORTUNE,Restaurant,1.0,2019-07-29,2,"['3', '5', '25', '38', '39', '49', '55', '56', '56', '57', '58']",LOGAN SQUARE
2579131,GEORGE'S DEEP DISH,Restaurant,1.0,2023-07-27,1,[],EDGEWATER
2303807,FAMILY DOLLAR #5478,Grocery Store,3.0,2019-07-29,0,"['5', '38', '39', '47', '49', '51', '53', '54', '55', '56']",WEST RIDGE
2303829,LA FOGATA E. L.,Restaurant,1.0,2019-07-29,2,"['3', '5', '10', '23', '25', '37', '47', '47', '47', '55', '55', '55', '55', '58']",IRVING PARK
2303833,SOUL FOOD PALACE,Restaurant,1.0,2019-07-29,1,"['38', '53']",ASHBURN
2303843,UNCLE J'S BBQ,Restaurant,1.0,2019-07-29,2,"['3', '5', '55', '55', '55', '57', '58']",GRAND BOULEVARD
2303846,TEA LEAF GARDEN,Restaurant,1.0,2019-07-29,0,"['2', '25', '38', '39', '47', '47', '49', '54', '55', '56', '57']",WEST RIDGE
2303873,LYDIA HOME ASSOCIATION DAY CARE,Daycare,1.0,2019-07-30,0,"['5', '47', '49', '51', '54', '55']",IRVING PARK
2303877,IMAGINATION CHILDREN'S ACADEMY,Children's Services Facility,1.0,2019-07-30,2,"['3', '16', '38', '40']",NEAR WEST SIDE
2303916,HAKKA BAKKA,Restaurant,1.0,2019-07-30,2,"['2', '3', '5', '40', '41', '44', '47', '49', '49', '55', '55', '56', '57']",LINCOLN PARK
2303924,THE CHICAGO FIREHOUSE RESTAURANT,Restaurant,1.0,2019-07-30,0,"['3', '5', '10', '10', '10', '16', '21', '25', '38', '39', '48', '48', '55', '55', '61']",NEAR SOUTH SIDE
2303951,RESURRECTION LIFE CENTER,Long Term Care,1.0,2019-07-31,1,"['38', '49', '49', '55', '55']",NORWOOD PARK
2303974,JOY YEE NOODLE SHOP,Restaurant,1.0,2019-07-31,1,"['36', '49', '55', '55', '56', '56', '57']",ARMOUR SQUARE
2579095,ARANDA MEXICAN RESTAURANT,Restaurant,1.0,2023-07-26,1,[],DUNNING
2579093,"OVER RICE'N BREAD, CORP",Restaurant,1.0,2023-07-26,1,[],LAKE VIEW
2303992,EVA'S CLUB,Restaurant,2.0,2019-08-01,0,"['3', '5', '10', '23', '36', '47', '48', '53', '54', '55', '55', '55', '56']",LOGAN SQUARE
2304017,VILLA PALERMO INC,Restaurant,1.0,2019-08-01,0,"['25', '38', '39', '47', '49', '49', '51', '53', '55', '55', '55', '55', '56', '58', '60']",WEST RIDGE
2304025,RUK SUSHI AND THAI,Restaurant,1.0,2019-08-01,2,"['3', '5', '14', '25', '39', '44', '47', '55', '55', '56']",PORTAGE PARK
2304027,EL HABANERO INC.,Restaurant,1.0,2019-08-01,1,"['38', '41', '47', '49', '53', '55', '55', '55', '55', '56']",LOGAN SQUARE
2304029,JEFF'S RED HOTS,Restaurant,1.0,2019-08-01,2,"['3', '5', '23', '25', '47', '47', '47', '49', '51', '51', '53', '55', '55', '56', '58']",PORTAGE PARK
2579080,BUSY BUMBLE BEE ACADEMY DAYCARE,Daycare,1.0,2023-07-26,1,['55'],WOODLAWN
2579078,GREAT DRAGON,Restaurant,1.0,2023-07-26,1,[],AVONDALE
2304047,LAS ISLAS MARIAS,Restaurant,1.0,2019-08-01,0,"['49', '53', '55', '58', '59']",BELMONT CRAGIN
2579068,COLUMBUS MANOR RESIDENTIAL CARE & HOME,Long Term Care,1.0,2023-07-26,1,"['41', '49', '55']",AUSTIN
2304049,SUGAR BABY'S CAFE INCORPORATED,Restaurant,1.0,2019-08-01,2,"['3', '5', '47', '55', '55', '56', '56', '58']",EAST GARFIELD PARK
2304056,THE REVELER,Restaurant,1.0,2019-08-01,0,"['8', '10', '10', '10', '10', '22', '23', '25', '39', '41', '51', '52', '55', '55', '55', '60', '61']",NORTH CENTER
2304058,LA FUENTE RESTAURANT,Restaurant,1.0,2019-08-02,0,"['3', '5', '23', '25', '37', '40', '47', '47', '47', '48', '49', '53', '55', '55', '60']",WEST ELSDON
2304059,La Michoacana de Tocumbo,Restaurant,1.0,2019-08-02,2,"['2', '3', '5', '38', '51', '55', '55', '56']",PORTAGE PARK
2304073,SUPER TAQUERIA EL TACONAZO EL TIO,Restaurant,1.0,2019-08-02,2,"['22', '37', '38', '39', '49', '53', '55', '55', '55', '55', '55', '56']",LOGAN SQUARE
2304079,TAQUERIA AMIGO CHINO 2,Restaurant,1.0,2019-08-02,2,"['10', '23', '25', '37', '55', '55', '58', '60']",PORTAGE PARK
2304098,PASTORAL,Restaurant,1.0,2019-08-02,2,"['1', '2', '8', '23', '25', '37', '43', '47', '51', '53', '55', '55']",LAKE VIEW
2304103,LOS ENCINOS INC.,Restaurant,1.0,2019-08-02,2,"['5', '10', '39', '47', '47', '55', '58', '60']",PORTAGE PARK
2304125,ARCLIGHT CINEMAS,Restaurant,2.0,2019-08-02,2,"['2', '3', '5', '16', '16', '25', '36']",NEAR NORTH SIDE
