Inspection ID,DBA Name,Facility Type,Risk,Inspection Date,Results,Violations,Community Area Name,Community Area,Birth Rate,General Fertility Rate,Low Birth Weight,Prenatal Care Beginning in First Trimester,Preterm Births,Teen Birth Rate,Assault (Homicide),Breast cancer in females,Cancer (All Sites),Colorectal Cancer,Diabetes-related,Firearm-related,Infant Mortality Rate,Lung Cancer,Prostate Cancer in Males,Stroke (Cerebrovascular Disease),Childhood Blood Lead Level Screening,Childhood Lead Poisoning,Gonorrhea in Females,Gonorrhea in Males,Tuberculosis,Below Poverty Level,Crowded Housing,Per Capita Income,Unemployment
2472449,ANDYS FRUIT RANCH,Grocery Store,1.0,2021-01-08,0,"['38', '47', '52', '56', '56', '57']",albany park,14,18.3,76.5,8.5,73.3,8.3,44.5,4.7,22.9,158.1,16.8,72.1,5.3,4.9,36.9,13.1,39.1,374.1,1.2,72.9,101.8,16.8,17.1,11.2,20355,9.0
2472475,BURGER KING #7623,Restaurant,2.0,2021-01-08,1,"['55', '55']",beverly,72,11.0,60.7,4.9,84.8,9.9,11.9,3.5,42.0,197.6,24.8,59.6,3.5,10.0,47.9,44.7,57.2,179.1,1.3,195.5,469.5,0.0,5.2,0.7,40107,7.8
2472501,LA PALAPA INC.,Restaurant,1.0,2021-01-11,2,"['5', '40', '41', '47', '47', '49', '51', '55', '55', '58']",mckinley park,59,16.7,73.9,7.3,80.5,9.9,47.9,5.1,32.7,148.4,14.2,61.4,6.5,7.3,38.3,0.0,51.7,529.6,0.8,141.4,.,11.5,16.1,6.9,17577,11.9
2472511,SU TAQUERIA THALY'S INC.,Restaurant,1.0,2021-01-11,0,"['23', '25', '36', '37', '47', '51', '53', '55', '56', '60']",belmont cragin,19,20.0,88.6,6.9,74.1,7.6,68.2,7.0,14.4,152.6,17.7,58.6,5.5,5.6,37.8,27.3,38.2,421.5,0.8,95.9,140.9,9.4,18.6,10.0,15246,11.5
2472526,EL TACONAZO  LA FIESTA INC.,Restaurant,1.0,2021-01-11,0,"['3', '10', '25', '37', '47', '47', '55', '55', '56', '56', '60']",belmont cragin,19,20.0,88.6,6.9,74.1,7.6,68.2,7.0,14.4,152.6,17.7,58.6,5.5,5.6,37.8,27.3,38.2,421.5,0.8,95.9,140.9,9.4,18.6,10.0,15246,11.5
2472535,Subway Restaurant,Restaurant,1.0,2021-01-11,0,"['2', '40', '48', '55', '58', '60']",avondale,21,18.5,77.7,7.3,74.4,7.5,63.4,4.7,16.6,133.9,13.4,52.7,4.6,5.7,32.5,37.7,36.0,373.3,0.7,85.3,92.2,10.1,14.6,5.8,20489,9.3
2472555,DMK BURGER BAR,Restaurant,1.0,2021-01-11,0,"['5', '10', '22', '23', '25', '33', '37', '39', '39', '47', '47', '49', '55', '55', '55', '56', '60']",lake view,6,13.5,38.7,6.3,79.1,8.1,15.8,1.4,20.1,126.9,13.0,38.5,1.8,2.2,32.5,17.0,24.4,179.2,0.4,81.8,357.6,3.2,10.5,1.2,58227,4.7
2472570,HYGGE,Restaurant,1.0,2021-01-12,2,"['51', '55', '60']",austin,25,18.0,80.1,15.4,72.9,14.3,81.8,34.4,33.7,261.9,29.8,113.9,28.5,13.3,74.6,69.8,56.8,492.3,2.0,1741.1,1678.9,5.8,27.0,5.7,15920,21.0
2574531,7-ELEVEN #41961H,Restaurant,1.0,2023-04-19,1,['58'],mckinley park,59,16.7,73.9,7.3,80.5,9.9,47.9,5.1,32.7,148.4,14.2,61.4,6.5,7.3,38.3,0.0,51.7,529.6,0.8,141.4,.,11.5,16.1,6.9,17577,11.9
2472576,BIG & LITTLE'S,Restaurant,1.0,2021-01-12,1,"['37', '47', '49', '49', '51', '55', '56']",near north side,8,10.7,35.9,8.6,69.7,9.6,34.0,3.7,24.0,142.7,15.1,27.0,3.2,6.5,33.6,15.1,22.0,311.2,0.1,244.4,235.8,5.5,13.4,2.0,87163,5.2
2472587,AL WALEEMA,Restaurant,1.0,2021-01-12,0,"['3', '5', '10', '25', '36', '47', '47', '47', '51', '53', '53', '55', '56', '56', '57']",irving park,16,15.8,67.1,7.7,79.9,10.2,37.0,4.1,29.9,169.4,19.2,60.2,5.7,5.3,41.3,17.9,42.0,333.5,0.6,159.6,74.5,9.3,10.8,5.6,26713,10.3
2472594,KIMBALL MINI MARKET,Grocery Store,3.0,2021-01-12,1,"['38', '47', '55']",logan square,22,18.2,63.5,7.2,78.2,9.4,66.1,8.6,9.2,148.7,13.7,75.7,10.2,4.3,37.7,17.5,31.9,364.4,0.9,209.0,159.3,8.4,17.2,3.2,29026,7.5
2574517,RAINFOREST LEARNING CENTER,Children's Services Facility,1.0,2023-04-18,1,[],near south side,33,21.4,72.9,8.8,78.1,10.9,50.9,4.8,31.9,169.0,19.2,61.5,6.6,4.8,46.2,51.4,52.4,301.3,0.2,300.6,318.7,5.0,11.1,1.4,60593,5.7
2574515,KINTON RAMEN1,Restaurant,1.0,2023-04-18,1,[],near west side,28,18.2,55.6,9.0,77.6,10.5,36.7,12.7,33.4,202.0,19.2,62.3,9.3,9.1,66.2,33.6,43.5,396.7,0.5,629.2,466.5,14.1,21.6,3.8,41488,10.7
2472654,UNCLE REMUS,Restaurant,1.0,2021-01-13,0,"['37', '38', '38', '49', '51', '54', '55', '55', '56', '56', '57', '58']",austin,25,18.0,80.1,15.4,72.9,14.3,81.8,34.4,33.7,261.9,29.8,113.9,28.5,13.3,74.6,69.8,56.8,492.3,2.0,1741.1,1678.9,5.8,27.0,5.7,15920,21.0
